'one': [19238, 49] 
'hands': [2500, 48] 
'city': [2499, 37] 
'took': [2496, 48] 
'word': [2478, 49] 
'years': [2471, 47] 
'last': [2386, 49] 
'art': [2371, 47] 
'truth': [2344, 49] 
'together': [2343, 48] 
'speak': [2337, 48] 
'manner': [2319, 48] 
'laws': [2305, 39] 
'natural': [2300, 44] 
'war': [2296, 44] 
'left': [2296, 48] 
'since': [2279, 49] 
'saw': [2271, 49] 
'means': [2261, 48] 
'kind': [2243, 48] 
'tell': [2202, 47] 
'fear': [2182, 48] 
'case': [2178, 45] 
'use': [2169, 49] 
'head': [2156, 49] 
'public': [2146, 40] 
'rather': [2112, 47] 
'work': [2098, 49] 
'seen': [2092, 49] 
'human': [2090, 43] 
'heard': [2084, 46] 
'quixote': [2082, 3] 
'indeed': [2078, 49] 
'taken': [2070, 47] 
'general': [2058, 47] 
'back': [2042, 48] 
'heaven': [1978, 42] 
'often': [1974, 48] 
'best': [1971, 49] 
'virtue': [1958, 43] 
'gave': [1957, 46] 
'bring': [1942, 49] 
'shalt': [1940, 27] 
'cause': [1939, 49] 
'species': [1937, 28] 
'perhaps': [1923, 44] 
'authority': [1913, 39] 
'times': [1912, 47] 
'look': [1911, 48] 
'sancho': [1899, 2] 
'full': [1896, 48] 
'rest': [1891, 48] 
'evil': [1877, 43] 
'society': [1870, 38] 
'subject': [1865, 46] 
'within': [1860, 49] 
'days': [1858, 45] 
'something': [1851, 45] 
'number': [1845, 41] 
'high': [1835, 48] 
'till': [1831, 45] 
'person': [1828, 46] 
'become': [1827, 44] 
'hear': [1824, 46] 
'believe': [1822, 47] 
'money': [1814, 42] 
'soon': [1812, 47] 
'necessary': [1807, 39] 
'sometimes': [1805, 45] 
'side': [1800, 48] 
'hast': [1800, 28] 
'almost': [1797, 47] 
'light': [1785, 48] 
'live': [1777, 48] 
'behold': [1754, 38] 
'face': [1753, 48] 
'seems': [1751, 46] 
'alone': [1746, 48] 
'least': [1736, 49] 
'spirit': [1730, 46] 
'mine': [1720, 41] 
'opinion': [1717, 40] 
'already': [1716, 48] 
'enough': [1711, 49] 
'pass': [1711, 49] 
'keep': [1709, 48] 
'states': [1703, 32] 
'forth': [1701, 46] 
'form': [1684, 49] 
'particular': [1683, 38] 
'blood': [1677, 45] 
'young': [1667, 48] 
'knowledge': [1660, 45] 
'sea': [1651, 44] 
'master': [1651, 47] 
'night': [1636, 42] 
'sent': [1635, 43] 
'able': [1634, 44] 
'thousand': [1627, 45] 
'round': [1611, 45] 
'sort': [1609, 41] 
'course': [1600, 49] 
'call': [1596, 48] 
'sons': [1589, 37] 
'mother': [1580, 45] 
'pleasure': [1580, 47] 
'justice': [1579, 44] 
'mr': [1566, 22] 
'hundred': [1561, 42] 
'account': [1557, 44] 
'force': [1555, 48] 
'free': [1543, 48] 
'peace': [1534, 44] 
'home': [1528, 47] 
'honour': [1523, 41] 
'fall': [1523, 48] 
'gold': [1521, 43] 
'labour': [1520, 39] 
'sense': [1510, 47] 
'dead': [1509, 46] 
'fire': [1507, 44] 
'desire': [1507, 47] 
'contrary': [1505, 39] 
'ground': [1496, 49] 
'price': [1489, 38] 
'poor': [1487, 48] 
'produce': [1480, 36] 
'saith': [1472, 10] 
'women': [1469, 44] 
'interest': [1467, 39] 
'told': [1465, 44] 
'matter': [1464, 48] 
'second': [1454, 48] 
'voice': [1444, 45] 
'none': [1437, 48] 
'act': [1433, 48] 
'hold': [1426, 49] 
'leave': [1421, 48] 
'anything': [1420, 41] 
'woman': [1416, 44] 
'nations': [1399, 32] 
'began': [1397, 40] 
'turn': [1390, 49] 
'several': [1379, 46] 
'get': [1378, 45] 
'thine': [1378, 23] 
'known': [1377, 48] 
'arms': [1370, 41] 
'says': [1368, 44] 
'parts': [1368, 46] 
'holy': [1361, 37] 
'value': [1359, 39] 
'sight': [1358, 48] 
'stood': [1357, 45] 
'“i': [1343, 12] 
'respect': [1335, 47] 
'want': [1331, 46] 
'wife': [1330, 43] 
'fortune': [1327, 39] 
'political': [1322, 26] 
'seem': [1313, 48] 
'friends': [1311, 46] 
'towards': [1306, 42] 
'answered': [1304, 36] 
'lay': [1300, 47] 
'age': [1300, 48] 
'four': [1288, 43] 
'water': [1284, 44] 
'year': [1282, 42] 
'mean': [1280, 49] 
'stand': [1278, 48] 
'else': [1274, 48] 
'persons': [1273, 38] 
'point': [1264, 46] 
'care': [1261, 47] 
'liberty': [1258, 37] 
'silver': [1257, 35] 
'return': [1257, 47] 
'making': [1253, 47] 
'small': [1253, 44] 
'ill': [1253, 46] 
'degree': [1249, 36] 
'makes': [1243, 48] 
'turned': [1238, 37] 
'strength': [1238, 47] 
'book': [1232, 44] 
'object': [1227, 40] 
'bear': [1226, 48] 
'knew': [1225, 44] 
'going': [1221, 42] 
'question': [1219, 48] 
'whatever': [1217, 38] 
'answer': [1216, 47] 
'need': [1197, 49] 
'quite': [1195, 46] 
'character': [1194, 36] 
'half': [1188, 46] 
'doubt': [1184, 46] 
'friend': [1184, 45] 
'equal': [1183, 43] 
'chapter': [1181, 23] 
'judge': [1173, 44] 
'living': [1169, 49] 
'real': [1164, 37] 
'trade': [1161, 35] 
'fact': [1158, 37] 
'strong': [1150, 46] 
'judgment': [1144, 38] 
'asked': [1141, 39] 
'fair': [1140, 44] 
'die': [1139, 46] 
'proper': [1137, 46] 
'appear': [1137, 46] 
'moses': [1137, 12] 
'condition': [1134, 40] 
'near': [1132, 44] 
'jesus': [1129, 12] 
'show': [1128, 47] 
'view': [1126, 45] 
'seeing': [1124, 40] 
'consider': [1122, 46] 
'certainly': [1118, 37] 
'greatest': [1115, 44] 
'wise': [1114, 46] 
'laid': [1113, 45] 
'fell': [1113, 43] 
'regard': [1111, 45] 
'enter': [1111, 46] 
'possible': [1107, 42] 
'former': [1099, 43] 
'self': [1099, 49] 
'prince': [1099, 31] 
'ancient': [1094, 43] 
'looked': [1090, 37] 
'hope': [1089, 48] 
'principle': [1089, 28] 
'five': [1082, 42] 
'wisdom': [1080, 41] 
'daughter': [1075, 39] 
'private': [1072, 40] 
'understand': [1072, 45] 
'longer': [1068, 48] 
'thereof': [1062, 18] 
'lost': [1061, 49] 
'short': [1061, 47] 
'david': [1059, 11] 
'everything': [1054, 41] 
'example': [1053, 39] 
'help': [1052, 48] 
'eat': [1051, 40] 
'moment': [1050, 43] 
'christ': [1050, 18] 
'gone': [1050, 45] 
'comes': [1049, 46] 
'fathers': [1048, 37] 
'servants': [1045, 38] 
'‘tis': [1045, 1] 
'faith': [1040, 42] 
'carried': [1040, 41] 
'generally': [1039, 36] 
'glory': [1039, 41] 
'effect': [1038, 45] 
'received': [1035, 41] 
'purpose': [1032, 47] 
'citizens': [1022, 29] 
'countries': [1022, 27] 
'sword': [1022, 35] 
'bad': [1021, 44] 
'worship': [1018, 31] 
'beauty': [1014, 42] 
'actions': [1014, 37] 
'rule': [1013, 44] 
'replied': [1013, 22] 
'held': [1011, 46] 
'felt': [1008, 45] 
'change': [1007, 48] 
'action': [1006, 47] 
'rich': [1005, 43] 
'system': [1001, 28] 
'read': [998, 43] 
'rome': [997, 29] 
'brother': [996, 39] 
'third': [995, 46] 
'open': [994, 48] 
'kings': [994, 32] 
'follow': [992, 47] 
'conduct': [990, 40] 
'vain': [988, 41] 
'company': [983, 44] 
'enemy': [983, 46] 
'concerning': [983, 30] 
'naturally': [981, 35] 
'nation': [980, 32] 
'family': [980, 37] 
'seemed': [978, 35] 
'ten': [973, 44] 
'de': [969, 27] 
'easily': [968, 39] 
'room': [966, 42] 
'fight': [964, 44] 
'got': [964, 40] 
'lady': [962, 27] 
'forms': [959, 41] 
'business': [952, 45] 
'really': [952, 35] 
'servant': [951, 39] 
'pay': [945, 45] 
'seek': [944, 47] 
'occasion': [943, 43] 
'feel': [943, 48] 
'cases': [941, 34] 
'goods': [941, 30] 
'quantity': [940, 27] 
'understanding': [938, 39] 
'cast': [938, 43] 
'air': [937, 45] 
'sun': [934, 40] 
'kept': [934, 45] 
'places': [933, 43] 
'advantage': [932, 44] 
'proportion': [932, 35] 
'duty': [931, 42] 
'battle': [928, 41] 
'wish': [926, 47] 
'causes': [925, 38] 
'kingdom': [925, 39] 
'feet': [919, 42] 
'coming': [918, 48] 
'next': [916, 47] 
'france': [913, 30] 
'child': [906, 48] 
'beyond': [904, 45] 
'twenty': [903, 39] 
'ask': [900, 48] 
'bodies': [899, 39] 
'passed': [897, 37] 
'flesh': [896, 41] 
'town': [896, 38] 
'inhabitants': [895, 29] 
'happy': [889, 44] 
'constitution': [887, 31] 
'besides': [882, 44] 
'command': [880, 41] 
'property': [877, 36] 
'jove': [875, 16] 
'foreign': [874, 40] 
'born': [872, 47] 
'unless': [872, 48] 
'noble': [870, 45] 
'revenue': [870, 18] 
'large': [869, 45] 
'jerusalem': [868, 14] 
'united': [864, 37] 
'single': [864, 47] 
'mankind': [864, 41] 
'mouth': [863, 41] 
'england': [862, 27] 
'perfect': [861, 43] 
'cities': [860, 30] 
'receive': [857, 43] 
'principles': [856, 33] 
'drink': [856, 42] 
'service': [856, 43] 
'ordinary': [855, 32] 
'objects': [855, 33] 
'although': [849, 42] 
'bound': [848, 48] 
'used': [848, 38] 
'past': [847, 47] 
'speaking': [847, 44] 
'frequently': [847, 28] 
'afterwards': [846, 39] 
'along': [845, 47] 
'lie': [844, 46] 
'pain': [844, 42] 
'enemies': [843, 44] 
'sir': [842, 32] 
'praise': [840, 38] 
'church': [839, 33] 
'false': [836, 47] 
'supposed': [836, 33] 
'cut': [835, 44] 
'increase': [835, 41] 
'latter': [834, 38] 
'religion': [834, 32] 
'wherein': [834, 32] 
'led': [833, 45] 
'considered': [832, 34] 
'necessity': [832, 40] 
'sin': [831, 32] 
'cried': [830, 29] 
'hard': [827, 47] 
'subjects': [824, 39] 
'divine': [823, 41] 
'necessarily': [823, 28] 
'beginning': [821, 42] 
'sake': [821, 44] 
'princes': [821, 31] 
'judah': [821, 3] 
'otherwise': [820, 41] 
'capital': [819, 24] 
'rise': [818, 45] 
'offering': [818, 26] 
'measure': [818, 46] 
'europe': [817, 25] 
'written': [815, 41] 
'plain': [811, 44] 
'became': [809, 42] 
'happiness': [808, 34] 
'history': [805, 39] 
'youth': [805, 43] 
'difference': [804, 38] 
'due': [801, 45] 
'serve': [798, 46] 
'seven': [797, 38] 
'remember': [796, 44] 
'dear': [793, 42] 
'expense': [793, 30] 
'save': [793, 45] 
'sufficient': [792, 37] 
'wine': [791, 34] 
'freedom': [790, 39] 
'amongst': [788, 26] 
'yes': [787, 32] 
'wealth': [783, 40] 
'army': [783, 37] 
'eye': [781, 48] 
'strange': [780, 46] 
'ready': [779, 46] 
'works': [779, 40] 
'mighty': [779, 34] 
'idea': [778, 34] 
'chief': [778, 41] 
'priest': [778, 27] 
'sure': [775, 46] 
'experience': [773, 39] 
'america': [773, 17] 
'court': [773, 41] 
'employed': [773, 28] 
'field': [772, 38] 
'individual': [770, 30] 
'altogether': [770, 39] 
'taking': [770, 41] 
'sleep': [767, 42] 
'paid': [766, 42] 
'established': [765, 36] 
'sound': [764, 45] 
'observed': [764, 33] 
'passions': [763, 32] 
'behind': [760, 46] 
'profit': [760, 35] 
'looking': [757, 43] 
'door': [757, 40] 
'send': [754, 39] 
'thoughts': [753, 44] 
'meet': [753, 47] 
'impossible': [752, 38] 
'suppose': [750, 36] 
'ships': [749, 22] 
'run': [748, 46] 
'egypt': [746, 26] 
'ulysses': [746, 11] 
'ways': [745, 48] 
'doth': [743, 22] 
'circumstances': [741, 32] 
'husband': [741, 37] 
'spoken': [740, 40] 
'wicked': [736, 35] 
'equally': [735, 35] 
'hence': [734, 46] 
'appears': [733, 42] 
'opinions': [733, 32] 
'future': [731, 42] 
'gives': [730, 44] 
'bed': [730, 40] 
'carry': [729, 42] 
'share': [728, 42] 
'spake': [728, 15] 
'six': [726, 42] 
'pray': [726, 35] 
'civil': [725, 33] 
'fine': [725, 42] 
'giving': [724, 42] 
'moreover': [724, 34] 
'close': [723, 43] 
'wrong': [722, 45] 
'market': [720, 28] 
'attention': [719, 35] 
'raskolnikov': [717, 1] 
'philosophy': [715, 32] 
'commanded': [714, 34] 
'romans': [714, 21] 
'animals': [713, 29] 
'suffer': [713, 45] 
'morning': [712, 42] 
'passion': [712, 41] 
'foot': [711, 43] 
'influence': [709, 37] 
'instead': [708, 40] 
'likely': [707, 36] 
'lest': [707, 41] 
'favour': [705, 38] 
'stock': [703, 32] 
'difficulty': [702, 34] 
'joy': [700, 36] 
'except': [700, 41] 
'ones': [698, 42] 
'corn': [698, 34] 
'affairs': [696, 38] 
'anger': [696, 38] 
'grace': [694, 39] 
'easy': [693, 44] 
'acts': [689, 40] 
'danger': [689, 44] 
'class': [689, 27] 
'fellow': [688, 42] 
'lives': [688, 49] 
'worthy': [688, 44] 
'commonly': [687, 25] 
'tears': [685, 37] 
'trojans': [685, 9] 
'language': [682, 40] 
'consequently': [681, 27] 
'sat': [680, 31] 
'nevertheless': [680, 32] 
'clear': [679, 45] 
'knight': [678, 17] 
'fate': [677, 40] 
'office': [677, 41] 
'horses': [676, 36] 
'books': [673, 34] 
'afraid': [671, 38] 
'spoke': [668, 38] 
'period': [667, 30] 
'trouble': [667, 44] 
'white': [666, 40] 
'followed': [664, 40] 
'race': [660, 41] 
'i’ll': [659, 14] 
'roman': [659, 30] 
'union': [658, 35] 
'rules': [656, 37] 
'moral': [655, 33] 
'worth': [654, 46] 
'worse': [654, 45] 
'black': [653, 37] 
'existence': [651, 32] 
'length': [650, 43] 
'especially': [650, 39] 
'merely': [650, 36] 
'education': [649, 28] 
'obliged': [648, 29] 
'don’t': [648, 5] 
'brethren': [647, 19] 
'suddenly': [647, 39] 
'sought': [646, 47] 
'maintain': [646, 37] 
'immediately': [645, 38] 
'allowed': [643, 40] 
'raised': [641, 38] 
'south': [640, 31] 
'blessed': [640, 30] 
'wherefore': [639, 33] 
'bread': [638, 31] 
'nearly': [637, 30] 
'deal': [637, 40] 
'rent': [637, 29] 
'consequence': [636, 35] 
'wilt': [636, 23] 
'members': [635, 32] 
'feeling': [634, 41] 
'remain': [634, 45] 
'knows': [632, 46] 
'please': [630, 45] 
'possession': [630, 37] 
'waters': [630, 28] 
'capable': [629, 36] 
'lies': [628, 48] 
'whence': [627, 39] 
'assembly': [625, 27] 
'social': [625, 27] 
'mrs': [625, 7] 
'industry': [622, 24] 
'letter': [622, 32] 
'multitude': [621, 35] 
'surely': [621, 33] 
'duties': [621, 35] 
'important': [619, 32] 
'fit': [619, 42] 
'elizabeth': [616, 6] 
'weak': [615, 45] 
'wind': [614, 44] 
'“and': [614, 8] 
'returned': [613, 30] 
'instance': [613, 36] 
'achaeans': [613, 6] 
'exercise': [612, 35] 
'souls': [612, 36] 
'following': [611, 48] 
'whilst': [610, 27] 
'punishment': [609, 33] 
'deep': [608, 44] 
'christian': [607, 30] 
'lived': [606, 39] 
'happened': [606, 31] 
'th': [605, 8] 
'thyself': [605, 20] 
'understood': [603, 37] 
'midst': [602, 36] 
'individuals': [602, 25] 
'likewise': [602, 32] 
'whereas': [601, 28] 
'sacrifice': [600, 36] 
'sovereign': [599, 32] 
'memory': [599, 41] 
'rate': [595, 34] 
'mercy': [594, 37] 
'render': [593, 33] 
'sister': [592, 29] 
'priests': [592, 27] 
'simple': [590, 42] 
'support': [589, 38] 
'useful': [589, 34] 
'considerable': [588, 28] 
'formed': [588, 33] 
'trust': [586, 44] 
'tongue': [586, 37] 
'taught': [586, 42] 
'stone': [585, 39] 
'offer': [584, 44] 
'wall': [583, 29] 
'added': [582, 42] 
'cry': [582, 38] 
'hour': [581, 40] 
'names': [581, 39] 
'sweet': [580, 38] 
'probably': [578, 31] 
'late': [575, 44] 
'pure': [574, 47] 
'kill': [574, 42] 
'becomes': [574, 41] 
'“that': [573, 10] 
'distinct': [573, 32] 
'produced': [573, 28] 
'destroy': [572, 40] 
'manners': [572, 38] 
'broken': [571, 41] 
'custom': [571, 41] 
'choice': [571, 43] 
'courage': [571, 40] 
'spear': [571, 13] 
'food': [570, 44] 
'gentleman': [570, 22] 
'draw': [570, 45] 
'minds': [569, 44] 
'mere': [569, 40] 
'universal': [568, 39] 
'died': [568, 41] 
'queen': [564, 35] 
'ii': [564, 37] 
'presence': [563, 45] 
'arts': [562, 36] 
'conditions': [561, 30] 
'secret': [561, 43] 
'takes': [560, 42] 
'difficult': [560, 34] 
'truly': [559, 46] 
'gain': [559, 43] 
'motion': [559, 38] 
'hardly': [558, 36] 
'ignorance': [558, 37] 
'stay': [557, 37] 
'created': [557, 34] 
'observe': [556, 37] 
'slain': [555, 25] 
'delivered': [555, 31] 
'powers': [554, 42] 
'chance': [554, 45] 
'fancy': [553, 40] 
'various': [552, 32] 
'situation': [551, 26] 
'republic': [550, 21] 
'ears': [549, 41] 
'begin': [549, 45] 
'escape': [548, 43] 
'rights': [548, 36] 
'doctrine': [548, 27] 
'qualities': [548, 37] 
'tax': [547, 19] 
'entirely': [547, 35] 
'arise': [547, 36] 
'drew': [547, 34] 
'shame': [546, 40] 
'twelve': [546, 34] 
'remains': [545, 41] 
'health': [545, 41] 
'learn': [544, 44] 
'seed': [544, 34] 
'beautiful': [543, 36] 
'choose': [543, 43] 
'lead': [543, 46] 
'superior': [542, 34] 
'1': [542, 27] 
'parents': [542, 38] 
'pleased': [541, 37] 
'demand': [540, 40] 
'wholly': [539, 33] 
'table': [539, 35] 
'dwell': [538, 34] 
'friendship': [538, 40] 
'sit': [538, 40] 
'break': [537, 44] 
'effects': [536, 34] 
'obey': [535, 41] 
'lose': [535, 46] 
'story': [534, 37] 
'seldom': [534, 30] 
'low': [534, 43] 
'duke': [534, 16] 
'struck': [533, 40] 
'forward': [533, 42] 
'highest': [532, 40] 
'charge': [531, 43] 
'affection': [531, 41] 
'ship': [530, 31] 
'thence': [530, 32] 
'thinking': [528, 41] 
'french': [528, 33] 
'nay': [527, 39] 
'drawn': [525, 46] 
'occasions': [524, 33] 
'standing': [524, 42] 
'higher': [524, 41] 
'birth': [524, 45] 
'pride': [523, 43] 
'virtues': [523, 34] 
'beasts': [522, 38] 
'simply': [522, 32] 
'killed': [521, 32] 
'believed': [520, 33] 
'weight': [520, 37] 
'tree': [520, 33] 
'breast': [518, 38] 
'knowing': [518, 43] 
'require': [518, 36] 
'achilles': [518, 14] 
'learned': [517, 37] 
'meat': [516, 31] 
'soldiers': [516, 34] 
'middle': [515, 41] 
'imagination': [514, 32] 
'slave': [513, 44] 
'speech': [513, 43] 
'yea': [513, 18] 
'matters': [513, 37] 
'goddess': [513, 19] 
'raise': [512, 43] 
'horse': [512, 38] 
'socrates': [511, 18] 
'direct': [511, 38] 
'hair': [511, 40] 
'thereby': [510, 28] 
'perfectly': [510, 33] 
'placed': [508, 38] 
'write': [507, 39] 
'meaning': [507, 43] 
'dark': [506, 39] 
'north': [506, 33] 
'altar': [505, 22] 
'democracy': [505, 16] 
'daughters': [505, 31] 
'darkness': [504, 38] 
'plato': [504, 19] 
'eternal': [503, 38] 
'clearly': [503, 39] 
'loss': [503, 44] 
'toward': [503, 25] 
'happen': [502, 34] 
'interests': [500, 30] 
'walk': [500, 39] 
'appeared': [499, 33] 
'sorrow': [499, 36] 
'enjoy': [499, 38] 
'cold': [499, 44] 
'hector': [499, 10] 
'judges': [498, 38] 
'fixed': [498, 38] 
'soveraign': [498, 2] 
'filled': [497, 33] 
'relation': [497, 37] 
'appearance': [496, 35] 
'divided': [496, 39] 
'et': [496, 19] 
'citizen': [493, 29] 
'play': [493, 41] 
'empire': [492, 32] 
'talk': [492, 39] 
'met': [491, 40] 
'river': [491, 30] 
'sacred': [491, 36] 
'taste': [490, 43] 
'rational': [490, 24] 
'scene': [489, 31] 
'prove': [488, 45] 
'principal': [488, 29] 
'distance': [487, 40] 
'meant': [487, 41] 
'early': [486, 42] 
'sorts': [486, 27] 
'brave': [485, 37] 
'possess': [485, 35] 
'extraordinary': [485, 26] 
'unjust': [483, 34] 
'somewhat': [483, 31] 
'peculiar': [483, 35] 
'desires': [483, 38] 
'imagine': [483, 35] 
'properly': [482, 30] 
'science': [482, 30] 
'2': [482, 28] 
'slaves': [481, 35] 
'continued': [480, 36] 
'shown': [479, 38] 
'author': [479, 33] 
'throughout': [478, 31] 
'wonder': [478, 43] 
'angry': [477, 37] 
'injustice': [477, 26] 
'attempt': [477, 37] 
'fruit': [477, 36] 
'deliver': [476, 32] 
'therein': [476, 29] 
'loved': [475, 38] 
'ruin': [474, 33] 
'promise': [474, 41] 
'american': [472, 14] 
'heavens': [471, 36] 
'ideas': [469, 32] 
'destroyed': [469, 34] 
'chosen': [468, 36] 
'importance': [468, 27] 
'offered': [468, 35] 
'wood': [468, 31] 
'fly': [467, 42] 
'dost': [467, 22] 
'english': [466, 27] 
'masters': [466, 42] 
'image': [466, 31] 
'lands': [466, 33] 
'continually': [466, 29] 
'hamlet': [466, 9] 
'original': [465, 34] 
'violence': [465, 35] 
'absolute': [464, 36] 
'reasons': [464, 39] 
'hate': [463, 39] 
'dare': [463, 39] 
'wild': [463, 43] 
'trees': [463, 33] 
'gathered': [463, 29] 
'mortal': [463, 36] 
'allow': [462, 40] 
'cattle': [462, 26] 
'proud': [462, 41] 
'rose': [462, 32] 
'crime': [461, 32] 
'thirty': [461, 33] 
'senses': [461, 39] 
'goes': [461, 46] 
'covenant': [461, 13] 
'wages': [460, 26] 
'rank': [459, 40] 
'it”': [458, 9] 
'fury': [457, 36] 
'consent': [457, 37] 
'obedience': [457, 36] 
'families': [456, 29] 
'line': [456, 44] 
'philosophers': [456, 28] 
'ear': [454, 38] 
'teach': [454, 41] 
'music': [454, 30] 
'party': [454, 34] 
'varieties': [454, 13] 
'pleasures': [453, 33] 
'quality': [453, 36] 
'amount': [453, 26] 
'study': [452, 39] 
'moved': [452, 36] 
'houses': [452, 37] 
'hearts': [452, 38] 
'mark': [451, 45] 
'grief': [451, 33] 
'exist': [450, 32] 
'silence': [450, 40] 
'fool': [450, 37] 
'community': [450, 27] 
'ran': [449, 28] 
'gate': [449, 28] 
'destruction': [449, 35] 
'scarce': [449, 28] 
'marriage': [448, 39] 
'burnt': [448, 27] 
'mount': [448, 25] 
'“but': [448, 7] 
'secure': [447, 36] 
'prevent': [447, 39] 
'per': [447, 16] 
'mountains': [446, 30] 
'arm': [446, 35] 
'fallen': [445, 39] 
'officers': [445, 31] 
'supreme': [443, 33] 
'it’s': [443, 6] 
'grow': [442, 47] 
'ignorant': [442, 35] 
'avoid': [442, 42] 
'plants': [442, 29] 
'spirits': [442, 39] 
'pleasant': [441, 29] 
'expect': [441, 37] 
'victory': [440, 37] 
'reached': [440, 29] 
'expected': [440, 35] 
'“what': [439, 9] 
'debt': [439, 33] 
'host': [439, 26] 
'proceed': [438, 42] 
'portion': [438, 34] 
'complete': [438, 33] 
'letters': [436, 37] 
'lying': [435, 42] 
'britain': [434, 11] 
'fame': [434, 31] 
'sheep': [434, 34] 
'iii': [434, 37] 
'remained': [434, 31] 
'opposite': [433, 39] 
'mans': [433, 28] 
'ages': [432, 37] 
'required': [432, 37] 
'wanted': [432, 34] 
'0': [432, 2] 
'temple': [431, 31] 
'defence': [431, 34] 
'spread': [430, 36] 
'extent': [430, 33] 
'size': [430, 26] 
'exactly': [429, 36] 
'practice': [429, 39] 
'ends': [428, 42] 
'try': [428, 42] 
'selection': [428, 11] 
'heavy': [427, 42] 
'security': [427, 33] 
'whatsoever': [427, 23] 
'argument': [426, 35] 
'changed': [426, 41] 
'saul': [426, 5] 
'bow': [425, 33] 
'fail': [424, 46] 
'bank': [424, 25] 
'conceive': [423, 37] 
'position': [423, 31] 
'acquired': [423, 27] 
'satisfied': [423, 39] 
'alive': [423, 39] 
'beast': [422, 41] 
'vice': [421, 36] 
'distinction': [421, 33] 
'captain': [421, 25] 
'benefit': [421, 36] 
'prophet': [421, 20] 
'content': [420, 44] 
'sick': [420, 38] 
'concerned': [419, 28] 
'sentiments': [419, 15] 
'brutus': [419, 10] 
'reputation': [418, 31] 
'institutions': [418, 23] 
'progress': [418, 36] 
'forced': [418, 35] 
'entered': [418, 34] 
'glad': [417, 37] 
'that’s': [417, 12] 
'east': [416, 31] 
'inferior': [415, 31] 
'angels': [415, 15] 
'onely': [415, 2] 
'conscience': [414, 33] 
'sensible': [414, 38] 
'fifty': [414, 28] 
'built': [412, 39] 
'dangerous': [411, 36] 
'breath': [411, 37] 
'ease': [410, 38] 
'wait': [410, 38] 
'colonies': [409, 17] 
'vanity': [409, 29] 
'appointed': [409, 33] 
'armour': [409, 16] 
